"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/2019","0.5960","0.5960","0.5960","0.5960","","0.00%"
"11/16/2019","0.5960","0.5960","0.5960","0.5960","","0.08%"
"11/15/2019","0.5955","0.6000","0.6200","0.5950","107.25K","-2.85%"
"11/14/2019","0.6130","0.5953","0.6151","0.5900","137.55K","3.11%"
"11/13/2019","0.5945","0.5950","0.6163","0.5940","93.24K","0.08%"
"11/12/2019","0.5940","0.6000","0.6200","0.5900","154.17K","-2.09%"
"11/11/2019","0.6067","0.6377","0.6400","0.5966","302.16K","-1.19%"
"11/10/2019","0.6140","0.6140","0.6140","0.6140","","0.00%"
"11/09/2019","0.6140","0.6140","0.6140","0.6140","","-0.07%"
"11/08/2019","0.6144","0.6080","0.6378","0.6040","406.79K","1.05%"
"11/07/2019","0.6080","0.6120","0.6460","0.6080","292.91K","-3.49%"
"11/06/2019","0.6300","0.6200","0.6348","0.6119","363.21K","3.62%"
"11/05/2019","0.6080","0.6000","0.6317","0.5928","304.64K","0.48%"
"11/04/2019","0.6051","0.5798","0.6090","0.5651","236.11K","4.33%"
"11/03/2019","0.5800","0.5800","0.5800","0.5800","","0.00%"
"11/02/2019","0.5800","0.5800","0.5800","0.5800","","0.03%"
"11/01/2019","0.5798","0.5600","0.5928","0.5600","200.81K","2.95%"
"10/31/2019","0.5632","0.5650","0.5938","0.5600","222.29K","-3.81%"
"10/30/2019","0.5855","0.5900","0.5900","0.5515","193.50K","-1.03%"
"10/29/2019","0.5916","0.5850","0.5916","0.5810","134.62K","0.27%"
"10/28/2019","0.5900","0.6000","0.6050","0.5812","118.60K","-2.96%"
"10/27/2019","0.6080","0.6080","0.6080","0.6080","","0.00%"
"10/26/2019","0.6080","0.6080","0.6080","0.6080","","0.05%"
"10/25/2019","0.6077","0.5900","0.6077","0.5805","148.68K","4.11%"
"10/24/2019","0.5837","0.5800","0.5900","0.5800","151.99K","-0.71%"
"10/23/2019","0.5879","0.5805","0.5890","0.5697","128.83K","-0.19%"
"10/22/2019","0.5890","0.6000","0.6000","0.5800","40.95K","0.17%"
"10/21/2019","0.5880","0.5800","0.5950","0.5751","165.10K","0.86%"
"10/20/2019","0.5830","0.5830","0.5830","0.5830","","0.00%"
